movieInfo,title,star,quote
"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,
                            1994 / 美国 / 犯罪 剧情
                        ,
                                ,
                            ",肖申克的救赎,9.6,希望让人自由。
"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...,
                            1994 / 法国 / 剧情 动作 犯罪
                        ,
                                ,
                            ",这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。
"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ,
                                ,
                            ",霸王别姬,9.5,风华绝代。
"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,
                            1994 / 美国 / 剧情 爱情
                        ,
                                ,
                            ",阿甘正传,9.4,一部美国近现代史。
"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ,
                                ,
                            ",美丽人生,9.5,最美的谎言。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,
                            2001 / 日本 / 剧情 动画 奇幻
                        ,
                                ,
                            ",千与千寻,9.2,最好的宫崎骏，最好的久石让。 
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,
                            1993 / 美国 / 剧情 历史 战争
                        ,
                                ,
                            ",辛德勒的名单,9.4,拯救一个人，就是拯救整个世界。
"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,
                            1997 / 美国 / 剧情 爱情 灾难
                        ,
                                ,
                            ",泰坦尼克号,9.2,失去的才是永恒的。 
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,
                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
                        ,
                                ,
                            ",盗梦空间,9.2,诺兰给了我们一场无法盗取的梦。
"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,
                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
                        ,
                                ,
                            ",机器人总动员,9.3,小瓦力，大人生。
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,
                            1998 / 意大利 / 剧情 音乐
                        ,
                                ,
                            ",海上钢琴师,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ,
                                ,
                            ",三傻大闹宝莱坞,9.1,英俊版憨豆，高情商版谢耳朵。
"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,
                            2009 / 美国 英国 / 剧情
                        ,
                                ,
                            ",忠犬八公的故事,9.2,永远都不能忘记你所爱的人。
"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...,
                            2004 / 法国 瑞士 德国 / 剧情 音乐
                        ,
                                ,
                            ",放牛班的春天,9.2,天籁一般的童声，是最接近上帝的存在。 
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            2017 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
                        ,
                                ,
                            ",大话西游之大圣娶亲,9.1,一生所爱。
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,
                            1972 / 美国 / 剧情 犯罪
                        ,
                                ,
                            ",教父,9.2,千万不要记恨你的对手，这样会让你失去理智。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,
                            1988 / 日本 / 动画 奇幻
                        ,
                                ,
                            ",龙猫,9.1,人人心中都有个龙猫，童年就永远不会消失。
"
                            导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / ...,
                            1939 / 美国 / 剧情 爱情 战争
                        ,
                                ,
                            ",乱世佳人,9.2,Tomorrow is another day.
"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,
                            1998 / 美国 / 剧情 科幻
                        ,
                                ,
                            ",楚门的世界,9.0,如果再也不能见到你，祝你早安，午安，晚安。
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...,
                            1988 / 意大利 法国 / 剧情 爱情
                        ,
                                ,
                            ",天堂电影院,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,
                            2006 / 美国 / 剧情 传记 家庭
                        ,
                                ,
                            ",当幸福来敲门,8.9,平民励志片。 
"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,
                            2011 / 法国 / 剧情 喜剧
                        ,
                                ,
                            ",触不可及,9.1,满满温情的高雅喜剧。
"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ,
                                ,
                            ",搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,
                            1957 / 美国 / 剧情
                        ,
                                ,
                            ",十二怒汉,9.3,1957年的理想主义。 
"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,
                            2002 / 香港 / 犯罪 悬疑 惊悚
                        ,
                                ,
                            ",无间道,9.0,香港电影史上永不过时的杰作。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ,
                                ,
                            ",指环王3：王者无敌,9.1,史诗的终章。
"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,
                            2011 / 韩国 / 剧情
                        ,
                                ,
                            ",熔炉,9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,
                            2010 / 美国 / 剧情 喜剧 爱情
                        ,
                                ,
                            ",怦然心动,8.9,真正的幸福是来自内心深处。
"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,
                            1953 / 美国 / 喜剧 剧情 爱情
                        ,
                                ,
                            ",罗马假日,8.9,爱情哪怕只有一天。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 ...,
                            1986 / 日本 / 动画 奇幻 冒险
                        ,
                                ,
                            ",天空之城,9.0,对天空的追逐，永不停止。 
"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...,
                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ,
                                ,
                            ",少年派的奇幻漂流,9.0,瑰丽壮观、无人能及的冒险之旅。
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
                        ,
                                ,
                            ",大话西游之月光宝盒,8.9,旷古烁今。
"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,
                            2000 / 中国大陆 / 剧情 战争
                        ,
                                ,
                            ",鬼子来了,9.1,对敌人的仁慈，就是对自己残忍。
"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ,
                                ,
                            ",两杆大烟枪,9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ,
                                ,
                            ",蝙蝠侠：黑暗骑士,9.0,无尽的黑暗。
"
                            导演: 彼特·道格特 Pete Docter   主演: 爱德华·阿斯纳 Edward Asner / 克...,
                            2009 / 美国 / 剧情 喜剧 动画 奇幻 冒险
                        ,
                                ,
                            ",飞屋环游记,8.9,最后那些最无聊的事情，才是最值得怀念的。 
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,
                            2014 / 美国 英国 加拿大 / 剧情 科幻 悬疑 冒险 家庭
                        ,
                                ,
                            ",星际穿越,9.1,爱是一种力量，让我们超越时空感知它的存在。
"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,
                            1975 / 美国 / 剧情
                        ,
                                ,
                            ",飞越疯人院,9.0,自由万岁。
"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...,
                            2006 / 德国 / 剧情 悬疑
                        ,
                                ,
                            ",窃听风暴,9.1,别样人生。
"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,
                            1994 / 中国大陆 香港 / 剧情 家庭
                        ,
                                ,
                            ",活着,9.0,张艺谋最好的电影。
"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...,
                            2009 / 美国 / 纪录片
                        ,
                                ,
                            ",海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。
"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,
                            1992 / 美国 / 剧情
                        ,
                                ,
                            ",闻香识女人,8.9,史上最美的探戈。
"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm...,
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ,
                                ,
                            ",V字仇杀队,8.8,一张面具背后的理想与革命。
"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...,
                            2001 / 美国 / 传记 剧情
                        ,
                                ,
                            ",美丽心灵,8.9,爱是一切逻辑和原由。
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,
                            1974 / 美国 / 剧情 犯罪
                        ,
                                ,
                            ",教父2,9.1,优雅的孤独。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ,
                                ,
                            ",指环王2：双塔奇兵,8.9,承前启后的史诗篇章。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        ,
                                ,
                            ",哈尔的移动城堡,8.8,带着心爱的人在天空飞翔。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ,
                                ,
                            ",指环王1：魔戒再现,8.9,传说的开始。
"
                            导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...,
                            2001 / 法国 德国 / 喜剧 爱情
                        ,
                                ,
                            ",天使爱美丽,8.7,法式小清新。 
"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,
                            1995 / 日本 / 剧情 爱情
                        ,
                                ,
                            ",情书,8.8,暗恋的极致。
"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,
                            1994 / 美国 / 犯罪 剧情
                        ,
                                ,
                            ",肖申克的救赎,9.6,希望让人自由。
"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...,
                            1994 / 法国 / 剧情 动作 犯罪
                        ,
                                ,
                            ",这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。
"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ,
                                ,
                            ",霸王别姬,9.5,风华绝代。
"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,
                            1994 / 美国 / 剧情 爱情
                        ,
                                ,
                            ",阿甘正传,9.4,一部美国近现代史。
"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ,
                                ,
                            ",美丽人生,9.5,最美的谎言。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,
                            2001 / 日本 / 剧情 动画 奇幻
                        ,
                                ,
                            ",千与千寻,9.2,最好的宫崎骏，最好的久石让。 
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,
                            1993 / 美国 / 剧情 历史 战争
                        ,
                                ,
                            ",辛德勒的名单,9.4,拯救一个人，就是拯救整个世界。
"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,
                            1997 / 美国 / 剧情 爱情 灾难
                        ,
                                ,
                            ",泰坦尼克号,9.2,失去的才是永恒的。 
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,
                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
                        ,
                                ,
                            ",盗梦空间,9.2,诺兰给了我们一场无法盗取的梦。
"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,
                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
                        ,
                                ,
                            ",机器人总动员,9.3,小瓦力，大人生。
